order_id,product_id,quantity,unit_price_usd,discount_percent,discount_amount_usd,total_price_usd,cost_usd,profit_usd,tax_usd,profit_margin_percent
O001,P001,1,199.99,10,20.00,189.99,120.00,69.99,9.99,36.8
O002,P002,2,29.99,0,0,59.98,15.00,44.98,3.00,75.0
O003,P003,1,89.99,5,4.50,90.49,50.00,40.49,5.00,44.7
O004,P004,1,120.00,0,0,120.00,60.00,60.00,6.00,50.0
O005,P005,3,25.00,0,0,75.00,45.00,30.00,3.75,40.0
O006,P001,2,199.99,15,60.00,399.98,240.00,159.98,20.00,40.0
O007,P004,1,120.00,0,0,120.00,60.00,60.00,6.00,50.0
O008,P002,1,29.99,0,0,29.99,15.00,14.99,1.50,50.0
O009,P003,2,89.99,0,0,179.98,100.00,79.98,9.00,44.4
O010,P005,1,25.00,0,0,25.00,15.00,10.00,1.25,40.0
O011,P001,1,199.99,10,20.00,189.99,120.00,69.99,9.99,36.8
